Rodada,Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Segunda fase,3,ter,2014-03-11,21:30 (23:30),CS Emelec ec,2–1,mx León,,Estadio Banco del Pacífico,José Argote,Relatório da Partida,
Segunda fase,3,ter,2014-03-11,21:30 (23:30),Real Garcilaso pe,1–2,cl Univ Chile,,Estadio Huancayo,Wilmar Roldán,Relatório da Partida,
Segunda fase,3,qui,2014-03-13,19:00,Arsenal ar,1–0,uy Peñarol,,Estadio Julio Humberto Grondona,Sandro Ricci,Relatório da Partida,
Segunda fase,3,qua,2014-03-12,20:30 (22:00),Zamora ve,2–1,co Santa Fe,,Estadio Rafael Agustín Tovar,Roddy Zambrano,Relatório da Partida,
Segunda fase,3,qua,2014-03-12,22:00,Nacional py,2–2,br Atlético Mineiro,,Estadio Antonio Aranda,Patricio Loustau,Relatório da Partida,
Segunda fase,3,qua,2014-03-12,22:00,Flamengo br,2–2,bo Bolívar,,Estadio Jornalista Mário Filho,Enrique Osses,Relatório da Partida,
Segunda fase,3,qui,2014-03-13,21:15,O'Higgins cl,2–2,py Cerro Porteño,,Estadio Monumental David Arellano,Martín Vázquez,Relatório da Partida,
Segunda fase,3,qui,2014-03-13,21:15,Grêmio br,0–0,ar Newell's OB,,Arena do Grêmio,Carlos Amarilla,Relatório da Partida,
Segunda fase,3,qui,2014-03-13,21:30 (23:30),Universitario pe,0–1,br Atl Paranaense,,Estadio Monumental,Ímer Machado,Relatório da Partida,
Segunda fase,3,qui,2014-03-13,21:30 (23:30),AD Cali co,2–1,ar Lanús,,Estadio Olímpico Pascual Guerrero,Leandro Pedro Vuaden,Relatório da Partida,
,,,,,,,,,,,,
Segunda fase,4,ter,2014-03-18,19:45,Univ Chile cl,1–0,pe Real Garcilaso,,Estadio Santa Laura-Universidad SEK,Antonio Arias,Relatório da Partida,
Segunda fase,4,ter,2014-03-18,19:45,Nacional uy,0–1,co Nacional,,Estadio Gran Parque Central,Raúl Orozco,Relatório da Partida,
Segunda fase,4,qua,2014-03-19,19:45,Atlético Mineiro br,1–1,py Nacional,,Estádio Governador Magalhães Pinto,Omar Ponce,Relatório da Partida,
Segunda fase,4,qua,2014-03-19,19:45,Peñarol uy,2–1,ar Arsenal,,Estadio Centenario,Wilton Sampaio,Relatório da Partida,
Segunda fase,4,ter,2014-03-18,20:00 (22:00),Santa Fe co,2–2,ve Zamora,,Estadio Nemesio Camacho El Campín,Óscar Maldonado,Relatório da Partida,
Segunda fase,4,ter,2014-03-18,21:15 (00:15),Santos mx,3–0,ve Anzoátegui,,Estadio Nuevo Corona,Wilson Lamouroux,Relatório da Partida,
Segunda fase,4,ter,2014-03-18,22:00,Vélez Sarsf ar,2–0,bo The Strongest,,Estadio José Amalfitani,Juan Soto,Relatório da Partida,
Segunda fase,4,ter,2014-03-18,22:00,Botafogo (RJ) br,1–0,ec Independiente,,Estadio Jornalista Mário Filho,Darío Ubríaco,Relatório da Partida,
Segunda fase,4,qui,2014-03-20,17:30,Atl Paranaense br,3–0,pe Universitario,,Estádio Durival de Brito e Silva,Patricio Polic,Relatório da Partida,
Segunda fase,4,qua,2014-03-19,19:00 (22:00),León mx,3–0,ec CS Emelec,,Estadio León,Diego Ceballos,Relatório da Partida,
Segunda fase,4,qui,2014-03-20,19:45,Cerro Porteño py,2–1,cl O'Higgins,,Estadio General Pablo Rojas,Víctor Carrillo,Relatório da Partida,
Segunda fase,4,qui,2014-03-20,19:45,Lanús ar,2–0,co AD Cali,,Estadio Ciudad de Lanús,Daniel Fedorczuk,Relatório da Partida,
Segunda fase,4,qua,2014-03-19,21:00 (22:00),Bolívar bo,1–0,br Flamengo,,Estadio Hernando Siles,Mario Díaz de Vivar,Relatório da Partida,
